description,date,amount,card,category
MICHAELS STORES 4812 FREMONT CA,2024-02-26,28.64,Bank of America Custom Cash,Fun
TJMAXX #0404 FREMONT CA,2024-02-26,11.01,Bank of America Custom Cash,Fun
SEPHORA THE GREAT MALL MILPITAS CA,2024-02-26,16.41,Bank of America Custom Cash,Personal Care
New Balance *0087 Milpitas CA,2024-02-26,53.68,Bank of America Custom Cash,Miscellaneous
UNITED PACIFIC #5734 FREMONT CA,2024-02-26,5,Bank of America Custom Cash,Car Maintenance
SEPHORA THE GREAT MALL MILPITAS CA,2024-02-26,-16.41,Bank of America Custom Cash,Personal Care
NETFLIX.COM 207631  SG                  SG,2024-02-27,9.99,AMEX Blue Cash Preferred,Subscriptions
SPOTIFY USA         NEW YORK            NY,2024-02-29,10.99,AMEX Blue Cash Preferred,Subscriptions
NOVA SUSHI & ASIAN BIS ATLANTA GA,2024-01-29,43.75,Citi Custom Cash,Restaurant & Drinks
STATE FARM INSURANCE BLOOMINGTON IL,2024-01-30,290.31,Citi Custom Cash,Car Maintenance
LE COLONIAL ATLANTA ATLANTA GA,2024-01-31,224.76,Citi Custom Cash,Restaurant & Drinks
"Zelle payment to Alan Kuo for IKEA mattress""; Conf# to9da7jbv""",2024-01-31,395,Bank of America Checking,Miscellaneous
CVS/PHARMACY #10969 MIAMI BEACH FL null XXXXXXXXXXXX6724,2024-01-04,6.48,Citi Custom Cash,Restaurant & Drinks
Sephora Payment,2024-01-04,468.41,Bank of America Checking,Personal Care
BKOFAMERICA BC 01/31 #XXXXX5653 WITHDRWL 3116 Peachtree Rd Atlanta GA,2024-02-01,3027,Bank of America Checking,Rent
CA DMV DES:ECHECK ID:XXXXXXXXXX53474 INDN:Seth Tepolak CO ID:XXXXX42292 WEB,2024-02-12,84,Bank of America Checking,Car Maintenance
VENMO DES:PAYMENT ID:XXXXX44458279 INDN:TEPOLAK SETH CO ID:XXXXX81992 WEB,2024-02-12,420,Bank of America Checking,Miscellaneous
SQ *TESLA-POWERTRAIN Fremont CA null XXXXXXXXXXXX0791,2024-02-13,13,Citi Custom Cash,Restaurant & Drinks
TST* OKIBORU - SANDY S SANDY SPGS GA,2024-02-14,62.08,Citi Custom Cash,Restaurant & Drinks
QUOC HUONG ATLANTA GA,2024-02-16,26.17,Citi Custom Cash,Restaurant & Drinks
SQ *THAIBODIA BISTRO - Milpitas CA,2024-02-18,14.81,Citi Custom Cash,Restaurant & Drinks
VENMO DES:PAYMENT ID:XXXXX18183564 INDN:TEPOLAK SETH CO ID:XXXXX81992 WEB,2024-02-20,40,Bank of America Checking,Miscellaneous
Sephora,2024-02-21,65.2,Bank of America Checking,Personal Care
NAM PHUONG - ATLANTA - ATLANTA GA,2024-02-25,62.54,Citi Custom Cash,Restaurant & Drinks
"Zelle payment to Alan Kuo for Rest of it""; Conf# x6f8h26rf""",2024-02-26,1361,Bank of America Checking,Miscellaneous
Federal Tax Returns,2024-02-27,-1619,Bank of America Checking,Miscellaneous
STATE FARM INSURANCE BLOOMINGTON IL,2024-02-29,290.31,Citi Custom Cash,Car Maintenance
Wifi,2024-02-06,25,Bank of America Checking,Wifi
GA Tax Returns,2024-03-01,-94,Bank of America Checking,Miscellaneous
Wifi,2024-03-01,20,Bank of America Checking,Wifi
Taylor Swift,2024-03-04,26.33,Bank of America Checking,Fun
Amazon Strainers,2024-03-05,11.9,Bank of America Checking,Shopping
Amazon Matcha Whisk,2024-03-05,10.57,Bank of America Custom Cash,Shopping
Amazon Matcha holder,2024-03-05,17.53,Bank of America Custom Cash,Shopping
Dentist Payment,2024-03-06,35,Bank of America Checking,Medical
Matcha Sense,2024-03-07,19.95,Bank of America Custom Cash,Groceries
Matcha Sense,2024-03-07,16.95,Bank of America Custom Cash,Groceries
Trader Joe's,2024-03-05,38.7,AMEX Blue Cash Preferred,Groceries
Lunch with Danny at Pho Kim Long,2024-03-03,45.68,Citi Custom Cash,Restaurant & Drinks
Rent,2024-03-01,27,Bilt Rewards,Rent
Tesla Insurance ,2024-03-01,150.56,Bank of America Checking,Car Maintenance
Costco,2024-02-25,78.82,Citi Costco,Costco
Costco,2024-03-03,97.1,Citi Costco,Costco
2023 Tax Return,2024-03-05,-6330,Bank of America Checking,Miscellaneous
Phone Bill,2024-03-01,77,Bank of America Checking,Phone Bill
Costco,2024-03-09,58,Citi Costco,Costco
Whole Foods,2024-03-09,37.06,AMEX Blue Cash Preferred,Groceries
USPS,2024-03-09,7.54,Bank of America Custom Cash,Miscellaneous
Boudin Bakery,2024-03-09,6.04,Citi Custom Cash,Restaurant & Drinks
Costco,2024-03-16,65,Citi Costco,Costco
Amazon Exacto Knife,2024-03-21,9.91,Bank of America Custom Cash,Shopping
Amazon Calculator,2024-03-22,22.85,Bank of America Custom Cash,Shopping
Walgreens Toothpaste,2024-03-12,6.49,Bank of America Custom Cash,Personal Care
Parking,2024-03-23,10,AMEX Blue Cash Preferred,Transportation
Dirty Labs Laundry Detergent,2024-03-11,38.14,Bank of America Custom Cash,Personal Care
Rantei Sushi,2024-03-17,143.67,Citi Custom Cash,Restaurant & Drinks
Mason Verbana Ferry Building Pastries,2024-03-17,7.84,Citi Custom Cash,Restaurant & Drinks
Photo Booth,2024-03-17,2.71,Bank of America Custom Cash,Miscellaneous
Boba Guys,2024-03-18,6.64,Citi Custom Cash,Restaurant & Drinks
Ramen Nagi,2024-03-18,21.09,Citi Custom Cash,Restaurant & Drinks
Sephora,2024-03-18,68.6,Citi Custom Cash,Personal Care
Olive Garden,2024-03-18,28.67,Citi Custom Cash,Restaurant & Drinks
PG&E,2024-03-24,62.84,Bilt Rewards,Utility
Southwest Airlines,2024-03-25,420,Citi Costco,Travel
Bay Bridge Toll,2024-03-15,7,AMEX Blue Cash Preferred,Transportation
Bumbarton Bridge Toll,2024-03-17,7,AMEX Blue Cash Preferred,Transportation
Target,2024-03-30,72.83,Bilt Rewards,Personal Care
Trader Joe's,2024-03-30,35.97,Bilt Rewards,Groceries
Trader Joe's,2024-03-31,41.54,AMEX Blue Cash Preferred,Groceries
99 Ranch,2024-03-30,36.56,AMEX Blue Cash Preferred,Groceries
Netflix,2024-03-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Spotify,2024-03-29,10.99,AMEX Blue Cash Preferred,Subscriptions
Whole Foods,2024-03-30,29.97,Bilt Rewards,Groceries
Tesla Insurance ,2024-03-27,150.56,Bank of America Custom Cash,Car Maintenance
Pizza Antica and Cheesecake,2024-03-29,45.18,Citi Custom Cash,Restaurant & Drinks
Cocola Bakery,2024-03-29,9.72,Citi Custom Cash,Restaurant & Drinks
Yokai,2024-03-27,6,Citi Custom Cash,Restaurant & Drinks
Rose Tea,2024-03-25,7,Citi Custom Cash,Restaurant & Drinks
GumaGumalu,2024-03-25,27.21,Citi Custom Cash,Restaurant & Drinks
Amami Sushi,2024-03-28,60,Citi Custom Cash,Restaurant & Drinks
Wifi,2024-03-27,30,Bank of America Custom Cash,Wifi
Dentist Payment,2024-03-28,141.4,Bank of America Custom Cash,Medical
Rent,2024-04-01,730.76,Bilt Rewards,Rent
Phone Bill,2024-04-01,77,Bank of America Checking,Phone Bill
Olive Kollection,2024-04-01,58.06,Bank of America Custom Cash,Personal Care
Amazon Diploma frame,2024-04-01,22.04,Bank of America Custom Cash,Shopping
Eye Exam & Contacts,2024-04-06,129,Bank of America Custom Cash,Medical
Seapot,2024-04-05,42.83,Citi Costco,Restaurant & Drinks
Ramen Nagi,2024-04-07,53.52,Citi Costco,Restaurant & Drinks
Costco,2024-04-06,91.11,Citi Costco,Costco
Whole Foods,2024-04-06,20.54,AMEX Blue Cash Preferred,Groceries
Trader Joe's ,2024-04-06,18.25,AMEX Blue Cash Preferred,Groceries
Sakura Bistro,2024-04-13,36.65,Bank of America Custom Cash,Restaurant & Drinks
Costco,2024-04-14,11.5,Citi Costco,Costco
Pineapple King,2024-04-14,2.35,Citi Custom Cash,Restaurant & Drinks
Osaka Marketplace,2024-04-14,64.41,AMEX Blue Cash Preferred,Groceries
Sephora,2024-04-14,37.81,Bank of America Custom Cash,Personal Care
Donate to Kenzie,2024-04-15,50,Bank of America Custom Cash,Miscellaneous
Sephora,2024-04-14,58.21,Bank of America Custom Cash,Shopping
UberEats Cambodian Food,2024-04-17,27.31,Bank of America Checking,Transportation
Lyft to Airport,2024-04-19,31.39,Bilt Rewards,Transportation
Lyft from Airport,2024-04-19,32.95,Bilt Rewards,Transportation
Chai Latte at Airport,2024-04-19,8.58,Citi Custom Cash,Restaurant & Drinks
Kahvi Tempe Coffee,2024-04-19,15.44,Citi Custom Cash,Restaurant & Drinks
Jacy and Dakota's dining,2024-04-19,66.44,Citi Custom Cash,Travel
Lua Lua Catering Market,2024-04-20,5.97,Citi Custom Cash,Travel
Pelon's Food Truck,2024-04-20,10,Citi Custom Cash,Travel
Churros Locos,2024-04-20,9.4,Citi Custom Cash,Travel
Ocean Chai Tea Mix,2024-04-20,16.3,Bank of America Custom Cash,Travel
Zen Thai,2024-04-21,37.47,Citi Custom Cash,Travel
Infruition,2024-04-21,6.52,Citi Custom Cash,Travel
Lyft to Airport,2024-04-21,10.2,Bilt Rewards,Travel
Lyft to Home,2024-04-21,36.17,Bilt Rewards,Travel
Neighborhood Market,2024-04-21,52.13,Bank of America Custom Cash,Travel
Amazon Chair,2024-04-29,135.11,Bank of America Custom Cash,Shopping
Amazon Desk Mat,2024-04-30,14.98,Bank of America Custom Cash,Shopping
Standing Desk,2024-04-27,50,Bank of America Checking,Miscellaneous
Rent,2024-05-01,2677,Bilt Rewards,Rent
Tesla Insurance,2024-05-01,150.56,Bilt Rewards,Car Maintenance
Phone Bill,2024-05-01,77,Bank of America Checking,Phone Bill
Michelle mailed me packages,2024-04-30,24.75,Bank of America Checking,Miscellaneous
Dinner at Baekjeong,2024-04-26,57.44,Bank of America Checking,Restaurant & Drinks
Netflix,2024-04-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Spotify,2024-04-30,10.99,AMEX Blue Cash Preferred,Subscriptions
Trader Joe's,2024-04-28,-14.73,AMEX Blue Cash Preferred,Groceries
Artly Coffee,2024-04-23,3.75,Citi Custom Cash,Restaurant & Drinks
Atulya Bharat Tesla Lunch,2024-04-25,17.24,Citi Custom Cash,Restaurant & Drinks
Costco,2024-04-28,106,Citi Costco,Costco
Water and Sewage Fees,2024-05-01,25.58,Bilt Rewards,Utility
Wifi,2024-05-01,30,Bilt Rewards,Wifi
Trader Joes,2024-05-04,46.07,AMEX Blue Cash Preferred,Groceries
EV Charging,2024-05-04,17.64,AMEX Blue Cash Preferred,Transportation
Costco,2024-05-04,70.94,Citi Custom Cash,Costco
Daiso,2024-05-04,9.37,Bank of America Custom Cash,Miscellaneous
Target,2024-05-04,8.18,Bank of America Custom Cash,Groceries
Tesla Barista Bar,2024-05-03,5.91,Citi Custom Cash,Restaurant & Drinks
Madeleine's gift,2024-05-08,23.5,Bank of America Custom Cash,Miscellaneous
Amazon argan oil and castor oil ,2024-05-11,22.73,Bank of America Custom Cash,Personal Care
99 Ranch,2024-05-12,31.93,AMEX Blue Cash Preferred,Groceries
Paris Baguette,2024-05-12,8.28,Citi Custom Cash,Restaurant & Drinks
PG&E,2024-05-14,37.66,Bilt Rewards,Utility
Tesla Barista Bar - bagel,2024-05-16,3.31,Citi Custom Cash,Restaurant & Drinks
Amazon extension cord,2024-05-16,28.27,Bank of America Custom Cash,Shopping
Toro Restaurant,2024-05-17,110.18,Citi Custom Cash,Restaurant & Drinks
Target,2024-05-17,39.12,Bank of America Custom Cash,Groceries
Safeway bagels,2024-05-17,33.95,AMEX Blue Cash Preferred,Groceries
GT Transcript,2024-05-17,10,Bank of America Custom Cash,Miscellaneous
Target La Roche Posay Moisturizer,2024-05-18,52.9,Bank of America Custom Cash,Personal Care
Costco,2024-05-18,80,Citi Costco,Costco
Trader Joe's,2024-05-18,22.22,AMEX Blue Cash Preferred,Groceries
Amazon scale,2024-05-21,19.92,Bank of America Custom Cash,Shopping
Built with Science Program,2024-05-21,134.1,Bank of America Custom Cash,Fun
Dinner at El Jardin,2024-05-24,16,Citi Custom Cash,Restaurant & Drinks
Salt & Straw,2024-05-24,16.61,Citi Custom Cash,Restaurant & Drinks
Costco,2024-05-26,62,Citi Costco,Costco
Trader Joe's ,2024-05-26,25.56,AMEX Blue Cash Preferred,Groceries
Target,2024-05-26,12.12,Bank of America Custom Cash,Miscellaneous
GNC,2024-05-26,10.47,Bank of America Custom Cash,Miscellaneous
Meso Mediteranean ,2024-05-27,37.76,Citi Custom Cash,Restaurant & Drinks
Netflix,2024-05-27,9.99,AMEX Blue Cash Preferred,Subscriptions
Salt & Straw,2024-05-27,6.55,Citi Custom Cash,Restaurant & Drinks
Wifi,2024-05-30,30,Bilt Rewards,Wifi
Tesla Insurance,2024-05-29,150.56,Bilt Rewards,Car Maintenance
Tesla Barista Bar,2024-05-31,5.91,Bilt Rewards,Restaurant & Drinks
Spotify,2024-05-31,10.99,AMEX Blue Cash Preferred,Subscriptions
Rent,2024-06-01,2766.64,Bilt Rewards,Rent
Phone Bill,2024-06-01,77,Bank of America Checking,Phone Bill
Promix Nutrition,2024-06-01,93.72,Bank of America Custom Cash,Personal Care
Optometry new glasses,2024-06-01,192,HSA,Medical
Trader Joe's ,2024-06-01,66.09,AMEX Blue Cash Preferred,Groceries
Ozumo Sushi,2024-06-01,100,Citi Custom Cash,Restaurant & Drinks
Target moisturizer and face wash,2024-06-01,19.83,Bank of America Custom Cash,Personal Care
Salt & Straw,2024-06-01,11.26,Citi Custom Cash,Restaurant & Drinks
Bevmo St Germain,2024-06-01,40,Bank of America Custom Cash,Fun
Target,2024-06-07,20.16,Bank of America Custom Cash,Personal Care
Victoria Secret,2024-06-04,88.14,Bank of America Custom Cash,Fun
USPS,2024-06-03,28.74,Bank of America Custom Cash,Miscellaneous
Amazon sunscreen for face and body,2024-06-08,64.83,Bank of America Custom Cash,Personal Care
Costco,2024-06-07,78.89,Citi Costco,Costco
Trader Joe's ,2024-06-07,27.09,AMEX Blue Cash Preferred,Groceries
Chocolate,2024-06-09,19.5,Bank of America Custom Cash,Restaurant & Drinks
Wine Tasting Fantesca,2024-06-09,0,Bank of America Custom Cash,Fun
Wine,2024-06-09,1,Bank of America Custom Cash,Restaurant & Drinks
Dinner at Kakushi Izakaya,2024-06-09,115.51,Citi Custom Cash,Restaurant & Drinks
Target wine glasses,2024-06-09,44.1,Bank of America Custom Cash,Personal Care
Bbq Chicken,2024-06-10,50.8,Citi Custom Cash,Restaurant & Drinks
Parking at Stanford,2024-06-10,4.81,Bank of America Custom Cash,Transportation
Boba,2024-06-10,5.4,Citi Custom Cash,Restaurant & Drinks
Drink at Googleplex,2024-06-10,3.27,Citi Custom Cash,Restaurant & Drinks
Lady M,2024-06-10,11.5,Citi Custom Cash,Restaurant & Drinks
Mas Fuego,2024-06-11,66.16,Citi Custom Cash,Restaurant & Drinks
Ippudo Matcha,2024-06-13,80,Bank of America Checking,Miscellaneous
Mikiya Shabu,2024-06-15,103,Citi Costco,Restaurant & Drinks
Olive Oil and Balsamic,2024-06-15,14.99,Bank of America Custom Cash,Restaurant & Drinks
Amazon Polaroids,2024-06-14,45.73,Bank of America Custom Cash,Shopping
Amazon Blender bottle,2024-06-16,29.73,Bank of America Custom Cash,Shopping
Amazon compostable trash bags,2024-06-16,25.3,Bank of America Custom Cash,Shopping
PG&E,2024-06-16,59.79,Bilt Rewards,Utility
Whole Foods,2024-06-23,64.2,AMEX Blue Cash Preferred,Groceries
Costco,2024-06-21,77.65,Citi Costco,Costco
Olive Kollection,2024-06-17,168.69,Bank of America Custom Cash,Fun
Target Mint and La Croix,2024-06-18,8.05,Bank of America Custom Cash,Personal Care
Promix Nutrition,2024-06-22,96.98,Bank of America Custom Cash,Personal Care
Parking in San Mateo,2024-06-22,4.7,Bank of America Custom Cash,Transportation
Sephora,2024-06-23,92.75,Bank of America Custom Cash,Personal Care
Amazon Wristband keychain,2024-06-23,7.71,Bank of America Custom Cash,Shopping
Alan's Flight,2024-06-17,310,Bank of America Custom Cash,Travel
Boba,2024-06-24,8.7,Bilt Rewards,Restaurant & Drinks
Bonchon Lunch,2024-06-24,21.76,Citi Costco,Restaurant & Drinks
In&Out,2024-06-24,5.25,Citi Costco,Restaurant & Drinks
PRINTWITHME,2024-06-25,5,Bank of America Custom Cash,Miscellaneous
Promix Nutrition,2024-06-28,255.01,Bank of America Custom Cash,Personal Care
Angkor Chef,2024-06-28,30.62,Bank of America Custom Cash,Miscellaneous
Angkor Chef,2024-06-28,40,Citi Costco,Restaurant & Drinks
St Pedro Garage,2024-06-28,3,Bank of America Custom Cash,Transportation
Dirty Labs Dishwasher Detergent,2024-06-29,42.18,Bank of America Custom Cash,Shopping
Wifi,2024-06-28,30,Bilt Rewards,Wifi
Spotify,2024-06-27,10.99,AMEX Blue Cash Preferred,Subscriptions
Netflix,2024-06-29,9.99,AMEX Blue Cash Preferred,Subscriptions
Pharmacy,2024-06-27,9.22,HSA,Medical
Tesla Insurance ,2024-06-30,150.56,Bilt Rewards,Car Maintenance
Rent,2024-07-01,2766.57,Bilt Rewards,Rent
Phone Bill,2024-07-01,77,Bank of America Checking,Phone Bill
Tesla Barista,2024-07-03,7.96,Bilt Rewards,Restaurant & Drinks
Costco Membership,2024-07-03,45,Bank of America Checking,Restaurant & Drinks
Amara,2024-07-04,17.54,Bank of America Checking,Restaurant & Drinks
Boba,2024-07-04,17.38,Bank of America Checking,Restaurant & Drinks
Pottery,2024-07-04,48.51,Bank of America Checking,Travel
Ice Cream,2024-07-04,8.5,Citi Costco,Restaurant & Drinks
Pigya,2024-07-04,25.12,Bank of America Checking,Restaurant & Drinks
Karaoke,2024-07-04,46,Bank of America Checking,Travel
Gift for Kathleen,2024-07-05,53.16,Bank of America Custom Cash,Miscellaneous
Oc Lau,2024-07-05,32.4,Citi Costco,Restaurant & Drinks
Target sunscreen,2024-07-05,11.2,Bank of America Custom Cash,Personal Care
Snacks,2024-07-05,31.25,Bank of America Checking,Restaurant & Drinks
Hot Pot,2024-07-05,15,Bank of America Checking,Restaurant & Drinks
MDK noodles,2024-07-06,27.57,Bank of America Checking,Restaurant & Drinks
Gift for Zoe and Jalen,2024-07-06,57.36,Bank of America Custom Cash,Travel
Erewhon,2024-07-06,24.5,AMEX Blue Cash Preferred,Groceries
Jitlada,2024-07-06,33.72,Bank of America Checking,Restaurant & Drinks
Amazon phone case,2024-07-07,22.23,Bank of America Custom Cash,Shopping
"Taylor Swift CDs, ring, and hat",2024-07-07,126.04,Bank of America Custom Cash,Fun
Trader Joe's,2024-07-07,83.28,AMEX Blue Cash Preferred,Groceries
Amazon Jars,2024-07-07,28.1,Bank of America Custom Cash,Shopping
Amazon stuff for Tato,2024-07-07,47.88,Bank of America Custom Cash,Shopping
Amazon Shelf,2024-07-07,35.27,Bank of America Custom Cash,Shopping
Olive Kollection,2024-07-07,44.67,Bank of America Custom Cash,Personal Care
Puesto's,2024-07-09,21,Bank of America Checking,Restaurant & Drinks
Dirty Labs,2024-07-09,43.65,Bank of America Custom Cash,Personal Care
Tetanus Vaccine,2024-07-10,154,HSA,Medical
